"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"progrès";-0,328;0,504;-0,206;-0,033;-0,09
"possible";-0,328;-4,08;3,561;2,693;-0,09
"personnel";-0,328;-1,232;3,561;0,533;-0,09
"partir";-0,328;-1,232;3,561;0,533;-0,09
"parler";-0,328;2,624;-0,206;-1,191;-0,09
"ouvrir";1,758;-4,08;3,561;0,533;-0,09
"organisation";-0,328;0,504;-0,206;-1,191;10,073
"oeuvre";-0,328;-1,232;-0,206;2,693;-0,09
"objectif";-0,328;6,4;-0,206;-4,009;-0,09
"nouvelle";-0,328;-4,08;17,88;0,533;-0,09
"moyen";-0,328;2,624;-0,206;-1,191;-0,09
"mouvement";-0,261;-3,25;-0,164;5,187;-0,071
"moment";-0,328;0,504;-0,206;-0,033;-0,09
"mois";1,758;2,624;-0,206;-4,009;-0,09
"long";-0,328;-0,04;-0,206;-0,033;10,073
"jour";-0,328;6,4;-0,206;-4,009;-0,09
"imposer";-0,261;5,098;-0,164;-3,194;-0,071
"essentiel";-0,328;6,4;-0,206;-4,009;-0,09
"engagement";-0,328;2,624;-0,206;-1,191;-0,09
"donner";-0,328;6,4;-0,206;-4,009;-0,09
"disposer";-0,261;-3,25;-0,164;5,187;-0,071
"discrimination";-0,328;6,4;-0,206;-4,009;-0,09
"cours";-0,328;6,4;-0,206;-4,009;-0,09
"convenir";-0,328;-1,232;-0,206;0,533;10,073
"constituer";-0,328;2,624;-0,206;-1,191;-0,09
"connaître";-0,328;-1,232;-0,206;-4,009;184,786
"conjoint";-0,261;-0,62;-0,164;1,591;-0,071
"commencer";-0,328;2,624;-0,206;-1,191;-0,09
"chose";-0,328;-4,08;-0,206;6,513;-0,09
"choix";-0,328;-1,232;-0,206;2,693;-0,09
"atteindre";-0,328;0,504;3,561;-1,191;-0,09
"assurer";-0,328;6,4;-0,206;-4,009;-0,09
"affirmer";-0,328;2,624;-0,206;-1,191;-0,09
"activité";-0,328;6,4;-0,206;-4,009;-0,09
"acte";2,582;-0,62;-0,164;0,06;-0,071
"étape";-0,261;5,098;-0,164;-3,194;-0,071
"établir";-0,195;-0,151;-0,123;0,636;-0,053
"égal";-0,195;3,807;-0,123;-2,385;-0,053
"école";2,582;-0,62;-0,164;0,06;-0,071
"voter";2,582;1,544;-0,164;-3,194;-0,071
"veiller";-0,195;-0,151;-0,123;0,636;-0,053
"seul";-0,261;-3,25;-0,164;5,187;-0,071
"service";-0,261;-3,25;-0,164;5,187;-0,071
"saluer";2,582;-0,62;-0,164;0,06;-0,071
"remercier";-0,261;-3,25;-0,164;1,591;13,014
"religieux";-0,261;0,052;-0,164;0,06;-0,071
"reconnaissance";-0,261;0,052;-0,164;0,06;-0,071
"rappeler";-0,261;0,052;-0,164;0,06;-0,071
"protéger";-0,261;1,544;-0,164;-0,594;-0,071
"protection";-0,261;-3,25;-0,164;5,187;-0,071
"progressivement";-0,261;-0,62;4,869;0,06;-0,071
"programme";-0,261;-3,25;-0,164;5,187;-0,071
"prochain";-0,261;5,098;-0,164;-3,194;-0,071
"police";-0,261;0,052;-0,164;0,06;-0,071
"partager";-0,261;0,052;-0,164;0,06;-0,071
"part";-0,195;3,807;-0,123;-2,385;-0,053
"paraître";-0,261;-0,62;-0,164;1,591;-0,071
"oublier";2,582;0,052;-0,164;-0,594;-0,071
"objet";-0,261;0,052;-0,164;0,06;-0,071
"nécessaire";-0,261;0,052;-0,164;-0,594;13,014
"mère";-0,195;-2,427;-0,123;3,874;-0,053
"mesure";-0,261;0,052;-0,164;0,06;-0,071
"législation";-0,261;1,544;-0,164;-0,594;-0,071
"inégalité";-0,261;1,544;-0,164;-0,594;-0,071
"information";-0,261;-3,25;-0,164;5,187;-0,071
"humain";2,582;-0,62;4,869;-0,594;-0,071
"génération";-0,195;-0,151;-0,123;-0,139;17,922
"gouvernemental";-0,261;1,544;-0,164;-0,594;-0,071
"garder";-0,261;-3,25;-0,164;5,187;-0,071
"féminin";-0,261;-0,62;-0,164;1,591;-0,071
"façon";-0,261;5,098;-0,164;-3,194;-0,071
"engager";-0,261;-3,25;-0,164;5,187;-0,071
"décision";-0,195;3,807;-0,123;-2,385;-0,053
"doute";-0,261;1,544;-0,164;-0,594;-0,071
"disposition";2,582;1,544;-0,164;-3,194;-0,071
"disparaître";-0,261;5,098;-0,164;-3,194;-0,071
"concerner";-0,261;-0,62;23,218;-0,594;-0,071
"collectif";-0,261;-3,25;-0,164;5,187;-0,071
"chemin";-0,261;-3,25;-0,164;5,187;-0,071
"appliquer";-0,261;1,544;-0,164;-0,594;-0,071
"accès";-0,261;-3,25;-0,164;5,187;-0,071
"évoquer";47,326;-2,427;-0,123;-2,385;-0,053
"évolution";-0,195;-2,427;-0,123;0,636;17,922
"étroit";-0,195;-0,151;-0,123;0,636;-0,053
"élever";-0,195;-2,427;-0,123;3,874;-0,053
"égard";-0,195;0,611;-0,123;-0,139;-0,053
"économique";-0,195;-0,151;-0,123;0,636;-0,053
"âge";-0,195;-0,151;-0,123;0,636;-0,053
"à_juste_titre";-0,195;3,807;-0,123;-2,385;-0,053
"yvetteroudy";-0,195;0,611;-0,123;-0,139;-0,053
"véritable";-0,195;-0,151;-0,123;0,636;-0,053
"vrai";-0,195;0,611;-0,123;-0,139;-0,053
"voie";-0,195;-2,427;-0,123;0,636;17,922
"viol";3,994;-0,151;-0,123;-0,139;-0,053
"versement";-0,195;0,611;7,071;-2,385;-0,053
"valeur";3,994;0,611;-0,123;-2,385;-0,053
"traitement";-0,195;3,807;-0,123;-2,385;-0,053
"terme";-0,195;0,611;-0,123;-0,139;-0,053
"suite";-0,195;-0,151;-0,123;-0,139;17,922
"suffire";-0,195;0,611;-0,123;-0,139;-0,053
"simple";-0,195;3,807;-0,123;-2,385;-0,053
"simonedebeauvoir";-0,195;-0,151;-0,123;0,636;-0,053
"réserver";-0,195;0,611;-0,123;-0,139;-0,053
"régime";-0,195;-2,427;-0,123;3,874;-0,053
"réel";-0,195;-0,151;-0,123;0,636;-0,053
"réduction";-0,195;3,807;-0,123;-2,385;-0,053
"récemment";19,705;-2,427;-0,123;-0,139;-0,053
"règle";-0,195;3,807;-0,123;-2,385;-0,053
"revenir";-0,195;-0,151;7,071;-0,139;-0,053
"respect";-0,195;0,611;-0,123;-0,139;-0,053
"reprendre";-0,195;0,611;-0,123;-2,385;17,922
"renforcer";-0,195;-0,151;-0,123;0,636;-0,053
"rendre";-0,195;-2,427;-0,123;0,636;17,922
"recevoir";-0,195;-2,427;7,071;0,636;-0,053
"quota";-0,195;0,611;-0,123;-2,385;17,922
"punir";-0,195;-2,427;7,071;0,636;-0,053
"présenter";-0,195;3,807;-0,123;-2,385;-0,053
"présent";-0,195;0,611;-0,123;-0,139;-0,053
"préparer";-0,195;0,611;-0,123;-0,139;-0,053
"proposition";-0,195;0,611;-0,123;-0,139;-0,053
"prestation";-0,195;-2,427;7,071;0,636;-0,053
"porter";-0,195;-2,427;-0,123;3,874;-0,053
"pleinement";-0,195;0,611;-0,123;-0,139;-0,053
"pierremauroy";-0,195;3,807;-0,123;-2,385;-0,053
"partiel";-0,195;-2,427;-0,123;3,874;-0,053
"occidental";-0,195;3,807;-0,123;-2,385;-0,053
"nécessité";-0,195;-0,151;7,071;-0,139;-0,053
"nombreux";-0,195;-0,151;-0,123;0,636;-0,053
"naturellement";3,994;-2,427;-0,123;0,636;-0,053
"nation";-0,195;0,611;-0,123;-0,139;-0,053
"modifier";3,994;-0,151;-0,123;-0,139;-0,053
"mixité";3,994;-2,427;-0,123;0,636;-0,053
"marquer";3,994;0,611;-0,123;-2,385;-0,053
"mari";-0,195;0,611;-0,123;-0,139;-0,053
"marcher";-0,195;0,611;-0,123;-0,139;-0,053
"manière";3,994;-2,427;-0,123;0,636;-0,053
"ligne";-0,195;-0,151;-0,123;0,636;-0,053
"lever";-0,195;0,611;-0,123;-0,139;-0,053
"internet";-0,195;-2,427;7,071;0,636;-0,053
"inspirer";3,994;-0,151;-0,123;-0,139;-0,053
"initiative";-0,195;-2,427;32,133;-0,139;-0,053
"heureux";3,994;-2,427;7,071;-0,139;-0,053
"guerre";47,326;-2,427;-0,123;-2,385;-0,053
"garçon";-0,195;-2,427;-0,123;3,874;-0,053
"forme";-0,195;0,611;7,071;-2,385;-0,053
"fondamental";-0,195;-2,427;32,133;-0,139;-0,053
"fait";-0,195;0,611;-0,123;-0,139;-0,053
"exister";-0,195;-0,151;-0,123;0,636;-0,053
"européen";-0,195;3,807;-0,123;-2,385;-0,053
"effort";-0,195;0,611;-0,123;-0,139;-0,053
"développer";19,705;-0,151;-0,123;-2,385;-0,053
"désormais";-0,195;-2,427;-0,123;3,874;-0,053
"débat";-0,195;-2,427;7,071;0,636;-0,053
"domestique";-0,195;0,611;-0,123;-0,139;-0,053
"crise";-0,195;-2,427;7,071;0,636;-0,053
"convention";3,994;0,611;-0,123;-2,385;-0,053
"contraception";-0,195;-2,427;-0,123;3,874;-0,053
"conseil";3,994;-0,151;-0,123;-0,139;-0,053
"concrétiser";-0,195;3,807;-0,123;-2,385;-0,053
"concertation";-0,195;-0,151;-0,123;0,636;-0,053
"comporter";-0,195;0,611;-0,123;-0,139;-0,053
"citer";-0,195;-2,427;-0,123;3,874;-0,053
"cher";-0,195;-0,151;-0,123;0,636;-0,053
"charger";-0,195;-0,151;-0,123;0,636;-0,053
"changement";-0,195;-0,151;-0,123;0,636;-0,053
"attacher";-0,195;0,611;-0,123;-0,139;-0,053
"association";-0,195;-0,151;-0,123;0,636;-0,053
"arrêter";-0,195;-2,427;-0,123;3,874;-0,053
"arriver";-0,195;0,611;-0,123;-0,139;-0,053
"agriculteur";-0,195;0,611;-0,123;-0,139;-0,053
"actuel";-0,195;-0,151;-0,123;0,636;-0,053
"acquérir";-0,195;-2,427;7,071;0,636;-0,053
"de";0,117;1,231;0,277;-1,064;-2,924
"être";0,321;0,707;0,156;-1,697;0,018
"la";0,012;0,356;0,056;-0,106;-2,51
"les";0,143;0,039;-2,657;0,008;0,407
"l";-0,054;2,864;0,024;-1,811;-1,283
"et";1,936;-0,295;0,017;-0,019;-0,019
"des";-0,175;-0,97;3,264;0,217;0,005
"à";-0,942;2,754;0,199;-1,26;-0,883
"avoir";0,09;-0,159;-0,011;0;1,366
"le";0,018;-0,208;-0,837;0,99;-0,883
"que";-3,072;-0,117;0,001;0,33;5,187
"en";-0,295;-0,065;-1,601;0,863;0,089
"d";0,182;-0,197;-2,782;0,229;2,442
"qui";11,286;-4,502;0,246;0,03;0,313
"dans";0,059;4,176;-1,992;-1,547;-1,983
"il";-0,299;1,613;-0,017;-1,257;0,383
"pour";-1,545;-1,915;0,09;4,847;-1,653
"nous";-0,321;-6,793;0,131;7,702;-0,018
"une";0,007;0,22;-1,272;-0,113;1,024
"ne";-1,041;2,618;-0,065;-0,517;-1,42
"un";-0,79;-0,071;-0,868;1,091;0,002
"ce";0,129;-8,159;0,388;5,951;0
"qu";-0,465;-1,82;0,769;1,67;0,029
"c";0,005;-0,568;0,013;0,384;0,046
"je";-0,212;0,025;1,258;-2,149;17,391
"faire";0,001;0,163;0,007;-0,031;-1,09
"du";-0,288;0,73;0,034;-0,544;0,069
"pas";-0,249;0,456;1,163;-0,356;-0,979
"plus";-2,737;0;-0,139;0,63;0,279
"pouvoir";-2,918;-0,097;1,965;0,214;0,221
"mais";0,183;-0,931;0,163;0,245;0,172
"au";-2,918;6,48;0,233;-2,83;-0,797
"cette";-0,862;0,043;5,672;-0,671;0,249
"on";0,731;-1,51;-0,057;0,549;0,43
"aussi";0,731;-0,715;-0,057;0,128;0,43
"ou";0,003;0,472;-1,498;-0,001;-0,651
"leur";-2,128;1,559;-1,338;0,01;-0,581
"par";-0,293;0,688;1,02;-0,595;-0,536
"y";0,731;-0,214;-0,057;-0,001;0,43
"vous";0,191;-6,756;1,276;2,924;0,857
"devoir";-0,443;-0,016;-1,391;0,509;0,527
"s";-1,962;0;-0,003;0,771;-0,536
"ces";-0,247;0,037;0;-0,033;0,778
"se";0,102;0;-0,003;0,003;-0,536
"vouloir";-0,128;-3,467;0,015;2,961;1,037
"sur";0,4;-0,12;1,77;-0,092;-0,426
"elles";-1,178;3,065;-0,74;-1,577;1,872
"elle";-0,095;0,011;1,77;-0,092;-0,426
"tout";-0,128;-2,016;-1,03;2,961;1,037
"aux";-0,041;0,278;0,074;-0,14;-0,384
"tous";12,866;-0,371;-0,932;-0,323;-0,405
"toutes";7,528;-0,171;-0,883;-0,14;-0,384
"j";-1,253;-0,968;0,147;0,288;10,148
"bien";-1,329;1,527;-0,835;-2,617;24,163
"si";-1,03;0,519;0,334;-0,736;2,312
"notre";-1,178;3,065;-0,74;-0,56;-0,322
"dire";-0,008;-0,24;0,147;0,002;1,691
"comme";1,267;0,219;0,259;-2,509;2,077
"savoir";-0,001;-0,077;0,197;0,071;-0,322
"où";0,001;-0,331;-0,694;1,053;-0,301
"même";-0,001;7,645;-0,74;-5,158;-0,322
"là";0,001;-7,083;3,425;4,285;-0,301
"aujourd_hui";1,062;-1,669;0,197;0,6;-0,322
"non";-0,957;-0,014;0,426;0,22;-0,261
"falloir";-0,957;4,41;0,426;-3,072;-0,261
"avec";-0,884;1,639;0,537;-0,973;-0,242
"votre";0,426;-1,865;-0,378;1,959;-0,164
"leurs";-0,742;1,732;0,841;-1,306;-0,203
"contre";-0,813;0,161;-0,511;0,187;-0,222
"autres";0,067;0,017;-0,556;0,027;-0,242
"ceux";0,118;-3,942;0,673;1,06;3,262
"souvent";0,19;0,005;0,841;-0,271;-0,203
"sans";-0,742;6,551;-0,466;-3,116;-0,203
"car";0,19;-5,831;0,841;3,877;-0,203
"m";-0,671;0,133;-0,422;-0,067;4,224
"entre";-0,671;-0,082;-0,422;0,154;4,224
"dont";3,595;-0,082;-0,422;-0,067;-0,183
"donc";-0,671;-0,877;-0,422;2,875;-0,183
"alors";-0,671;-0,082;-0,422;1,091;-0,183
"toujours";4,327;-1,865;-0,378;0,511;-0,164
"parce_que";-0,532;-0,16;-0,334;1,155;-0,145
"ainsi";-0,601;-1,865;-0,378;4,345;-0,164
"surtout";-0,532;-1,263;1,651;1,155;-0,145
"sa";-0,464;-0,732;-0,291;2,21;-0,127
"pourquoi";-0,464;-0,007;-0,291;0,509;-0,127
"ici";-0,532;1,1;-0,334;-1,21;5,678
"encore";-0,464;-2,651;-0,291;5,106;-0,127
"chacun";-0,532;-0,16;-0,334;1,155;-0,145
"celles";-0,532;-1,263;-0,334;-0,141;62,588
"celle";-0,464;0,475;-0,291;-0,004;-0,127
"cela";-0,464;0,475;-0,291;-0,004;-0,127
"autre";0,867;2,137;-0,291;-2,581;-0,127
"son";1,228;1,237;-0,249;-1,863;-0,108
"rien";-0,396;1,237;-0,249;-0,283;-0,108
"nos";1,228;0,078;-0,249;-0,283;-0,108
"mme";-0,396;0,078;-0,249;0,091;-0,108
"devant";-0,464;2,137;-0,291;-0,694;-0,127
"depuis";-0,464;2,137;-0,291;-0,694;-0,127
"celui";-0,328;2,624;-0,206;-1,191;-0,09
"beaucoup";-0,464;-2,651;-0,291;5,106;-0,127
"parmi";-0,396;3,783;-0,249;-4,833;8,116
"ni";-0,195;3,807;-0,123;-2,385;-0,053
"madame";-0,328;0,504;-0,206;-0,033;-0,09
"enfin";1,228;3,783;-0,249;-4,833;-0,108
"dès";-0,328;0,504;-0,206;-0,033;-0,09
"d_abord";8,095;-1,919;-0,249;0,091;-0,108
"chaque";13,875;-3,25;-0,164;0,06;-0,071
"trop";-0,261;0,052;4,869;-0,594;-0,071
"toute";1,758;-0,04;-0,206;-0,033;-0,09
"mêmes";-0,195;-0,151;-0,123;0,636;-0,053
"force";-0,328;-1,232;-0,206;0,533;10,073
"cet";-0,328;-0,04;-0,206;0,533;-0,09
"certaines";-0,328;0,504;-0,206;-1,191;10,073
"certain";-0,328;2,624;-0,206;-1,191;-0,09
"avant";1,758;-1,232;-0,206;0,533;-0,09
"aucune";-0,195;-2,427;-0,123;3,874;-0,053
"voilà";-0,195;0,611;-0,123;-0,139;-0,053
"très";-0,261;0,052;-0,164;0,06;-0,071
"tant";2,582;-0,62;-0,164;0,06;-0,071
"ses";-0,195;0,611;-0,123;-0,139;-0,053
"quand";-0,195;-0,151;-0,123;0,636;-0,053
"personne";-0,261;1,544;4,869;-3,194;-0,071
"monsieur";-0,261;1,544;-0,164;-0,594;-0,071
"maintenant";-0,261;0,052;-0,164;-0,594;13,014
"lorsque";-0,261;1,544;-0,164;-0,594;-0,071
"laquelle";-0,261;1,544;-0,164;-0,594;-0,071
"jusqu_à";2,582;0,052;-0,164;-0,594;-0,071
"ils";-0,261;0,052;-0,164;-0,594;13,014
"deux";-0,261;0,052;-0,164;0,06;-0,071
"certains";-0,261;-0,62;4,869;0,06;-0,071
"c_est_à_dire";-0,261;-0,62;-0,164;1,591;-0,071
"an";-0,261;5,098;-0,164;-3,194;-0,071
"t";-0,195;-0,151;-0,123;0,636;-0,053
"sous";-0,195;-0,151;-0,123;0,636;-0,053
"soi";-0,195;-0,151;-0,123;0,636;-0,053
"quelques";-0,195;-0,151;-0,123;0,636;-0,053
"puisque";-0,195;-0,151;-0,123;0,636;-0,053
"puis";3,994;-0,151;-0,123;-0,139;-0,053
"point";-0,195;3,807;-0,123;-2,385;-0,053
"plusieurs";-0,195;0,611;-0,123;-0,139;-0,053
"peu";-0,195;-2,427;-0,123;0,636;17,922
"pendant";-0,195;3,807;-0,123;-2,385;-0,053
"partout";-0,195;-0,151;-0,123;0,636;-0,053
"parfois";3,994;0,611;-0,123;-2,385;-0,053
"moi";-0,195;-0,151;-0,123;0,636;-0,053
"me";-0,195;0,611;-0,123;-0,139;-0,053
"fort";-0,195;-0,151;-0,123;0,636;-0,053
"eh";-0,195;-0,151;-0,123;0,636;-0,053
"davantage";-0,195;-2,427;7,071;0,636;-0,053
"comment";-0,195;0,611;-0,123;-0,139;-0,053
"chacune";-0,195;-2,427;-0,123;3,874;-0,053
"bon";-0,195;-0,151;-0,123;0,636;-0,053
"autant";-0,195;0,611;-0,123;-0,139;-0,053
"après";-0,195;-0,151;-0,123;-0,139;17,922
"20";-0,195;3,807;-0,123;-2,385;-0,053
"*loc_mitterand";-16,935;31,142;-5,394;-9,891;2,772
"*date_1982";-16,935;31,142;-5,394;-9,891;2,772
"*loc_chirac";11,944;-4,623;-0,981;1,104;-0,426
"*date_2006";11,944;-4,623;-0,981;1,104;-0,426
"*loc_hollande";4,745;-20,795;9,558;7,139;-1,832
"*date_2017";4,745;-20,795;9,558;7,139;-1,832
