"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"exigence";-0,328;6,4;-0,206;-0,09;-4,009
"dignité";-0,532;1,1;-0,334;-0,145;-0,141
"corps";-0,464;-5,763;11,802;-0,127;2,21
"cause";-0,532;0,105;-0,334;-0,145;0,122
"autonomie";-0,396;7,714;-0,249;-0,108;-4,833
"victime";112,391;-5,763;-0,291;-0,127;-5,663
"serment";-0,328;-1,232;-0,206;-0,09;2,693
"sentir";-0,464;-5,763;-0,291;-0,127;9,199
"rôle";-0,396;1,237;-0,249;-0,108;-0,283
"projet";1,758;2,624;-0,206;-0,09;-4,009
"place";1,228;0,078;-0,249;-0,108;-0,283
"nombre";-0,396;3,783;-0,249;-0,108;-1,863
"mener";-0,396;3,783;-0,249;-0,108;-1,863
"lieu";-0,261;-3,25;4,869;-0,071;1,591
"entendre";-0,464;9,04;-0,291;-0,127;-5,663
"dernier";-0,464;9,04;-0,291;-0,127;-5,663
"comprendre";-0,396;0,078;-0,249;-0,108;0,091
"appeler";0,867;-2,651;-0,291;6,722;0,509
"trouver";-0,328;0,504;-0,206;-0,09;-0,033
"situation";-0,328;-0,04;-0,206;-0,09;0,533
"sexe";-0,396;0,078;-0,249;-0,108;0,091
"réforme";-0,396;3,783;-0,249;-0,108;-1,863
"question";-0,396;-1,919;-0,249;-0,108;3,875
"principe";-0,396;7,714;-0,249;-0,108;-4,833
"plan";-0,396;-1,919;-0,249;-0,108;3,875
"notamment";-0,396;0,078;2,701;-0,108;-0,283
"montrer";-0,328;-1,232;-0,206;10,073;0,533
"ivg";-0,328;-4,08;-0,206;-0,09;6,513
"important";-0,396;1,237;-0,249;-0,108;-0,283
"formation";-0,396;1,237;-0,249;-0,108;-0,283
"exemple";-0,396;3,783;-0,249;-0,108;-1,863
"développement";-0,396;-4,918;-0,249;-0,108;7,85
"définir";-0,396;3,783;-0,249;-0,108;-1,863
"considérer";-0,396;-1,919;-0,249;-0,108;3,875
"condition";-0,396;-1,919;-0,249;-0,108;3,875
"chômage";-0,396;-0,305;-0,249;-0,108;1,288
"choisir";-0,261;-0,62;-0,164;-0,071;1,591
"utiliser";1,758;-4,08;3,561;-0,09;0,533
"tenir";-0,328;2,624;-0,206;-0,09;-1,191
"statut";-0,328;6,4;-0,206;-0,09;-4,009
"salaire";-0,328;2,624;-0,206;-0,09;-1,191
"république";-0,328;-4,08;-0,206;-0,09;6,513
"réduire";-0,328;-4,08;3,561;-0,09;2,693
"réalité";1,758;-1,232;-0,206;-0,09;0,533
"réaliser";-0,328;2,624;-0,206;-0,09;-1,191
"responsabilité";-0,328;6,4;-0,206;-0,09;-4,009
"respecter";-0,328;2,624;-0,206;-0,09;-1,191
"reconnaître";-0,328;6,4;-0,206;-0,09;-4,009
"prostitution";-0,328;-1,232;79,408;-0,09;-4,009
"progrès";-0,328;0,504;-0,206;-0,09;-0,033
"possible";-0,328;-4,08;3,561;-0,09;2,693
"personnel";-0,328;-1,232;3,561;-0,09;0,533
"partir";-0,328;-1,232;3,561;-0,09;0,533
"parler";-0,328;2,624;-0,206;-0,09;-1,191
"ouvrir";1,758;-4,08;3,561;-0,09;0,533
"organisation";-0,328;0,504;-0,206;10,073;-1,191
"oeuvre";-0,328;-1,232;-0,206;-0,09;2,693
"objectif";-0,328;6,4;-0,206;-0,09;-4,009
"nouvelle";-0,328;-4,08;17,88;-0,09;0,533
"moyen";-0,328;2,624;-0,206;-0,09;-1,191
"mouvement";-0,261;-3,25;-0,164;-0,071;5,187
"moment";-0,328;0,504;-0,206;-0,09;-0,033
"mois";1,758;2,624;-0,206;-0,09;-4,009
"long";-0,328;-0,04;-0,206;10,073;-0,033
"jour";-0,328;6,4;-0,206;-0,09;-4,009
"imposer";-0,261;5,098;-0,164;-0,071;-3,194
"essentiel";-0,328;6,4;-0,206;-0,09;-4,009
"engagement";-0,328;2,624;-0,206;-0,09;-1,191
"donner";-0,328;6,4;-0,206;-0,09;-4,009
"disposer";-0,261;-3,25;-0,164;-0,071;5,187
"discrimination";-0,328;6,4;-0,206;-0,09;-4,009
"cours";-0,328;6,4;-0,206;-0,09;-4,009
"convenir";-0,328;-1,232;-0,206;10,073;0,533
"constituer";-0,328;2,624;-0,206;-0,09;-1,191
"connaître";-0,328;-1,232;-0,206;184,786;-4,009
"conjoint";-0,261;-0,62;-0,164;-0,071;1,591
"commencer";-0,328;2,624;-0,206;-0,09;-1,191
"chose";-0,328;-4,08;-0,206;-0,09;6,513
"choix";-0,328;-1,232;-0,206;-0,09;2,693
"atteindre";-0,328;0,504;3,561;-0,09;-1,191
"assurer";-0,328;6,4;-0,206;-0,09;-4,009
"affirmer";-0,328;2,624;-0,206;-0,09;-1,191
"activité";-0,328;6,4;-0,206;-0,09;-4,009
"acte";2,582;-0,62;-0,164;-0,071;0,06
"étape";-0,261;5,098;-0,164;-0,071;-3,194
"établir";-0,195;-0,151;-0,123;-0,053;0,636
"égal";-0,195;3,807;-0,123;-0,053;-2,385
"école";2,582;-0,62;-0,164;-0,071;0,06
"voter";2,582;1,544;-0,164;-0,071;-3,194
"veiller";-0,195;-0,151;-0,123;-0,053;0,636
"seul";-0,261;-3,25;-0,164;-0,071;5,187
"service";-0,261;-3,25;-0,164;-0,071;5,187
"saluer";2,582;-0,62;-0,164;-0,071;0,06
"remercier";-0,261;-3,25;-0,164;13,014;1,591
"religieux";-0,261;0,052;-0,164;-0,071;0,06
"reconnaissance";-0,261;0,052;-0,164;-0,071;0,06
"rappeler";-0,261;0,052;-0,164;-0,071;0,06
"protéger";-0,261;1,544;-0,164;-0,071;-0,594
"protection";-0,261;-3,25;-0,164;-0,071;5,187
"progressivement";-0,261;-0,62;4,869;-0,071;0,06
"programme";-0,261;-3,25;-0,164;-0,071;5,187
"prochain";-0,261;5,098;-0,164;-0,071;-3,194
"police";-0,261;0,052;-0,164;-0,071;0,06
"partager";-0,261;0,052;-0,164;-0,071;0,06
"part";-0,195;3,807;-0,123;-0,053;-2,385
"paraître";-0,261;-0,62;-0,164;-0,071;1,591
"oublier";2,582;0,052;-0,164;-0,071;-0,594
"objet";-0,261;0,052;-0,164;-0,071;0,06
"nécessaire";-0,261;0,052;-0,164;13,014;-0,594
"mère";-0,195;-2,427;-0,123;-0,053;3,874
"mesure";-0,261;0,052;-0,164;-0,071;0,06
"législation";-0,261;1,544;-0,164;-0,071;-0,594
"inégalité";-0,261;1,544;-0,164;-0,071;-0,594
"information";-0,261;-3,25;-0,164;-0,071;5,187
"humain";2,582;-0,62;4,869;-0,071;-0,594
"génération";-0,195;-0,151;-0,123;17,922;-0,139
"gouvernemental";-0,261;1,544;-0,164;-0,071;-0,594
"garder";-0,261;-3,25;-0,164;-0,071;5,187
"féminin";-0,261;-0,62;-0,164;-0,071;1,591
"façon";-0,261;5,098;-0,164;-0,071;-3,194
"engager";-0,261;-3,25;-0,164;-0,071;5,187
"décision";-0,195;3,807;-0,123;-0,053;-2,385
"doute";-0,261;1,544;-0,164;-0,071;-0,594
"disposition";2,582;1,544;-0,164;-0,071;-3,194
"disparaître";-0,261;5,098;-0,164;-0,071;-3,194
"concerner";-0,261;-0,62;23,218;-0,071;-0,594
"collectif";-0,261;-3,25;-0,164;-0,071;5,187
"chemin";-0,261;-3,25;-0,164;-0,071;5,187
"appliquer";-0,261;1,544;-0,164;-0,071;-0,594
"accès";-0,261;-3,25;-0,164;-0,071;5,187
"évoquer";47,326;-2,427;-0,123;-0,053;-2,385
"évolution";-0,195;-2,427;-0,123;17,922;0,636
"étroit";-0,195;-0,151;-0,123;-0,053;0,636
"élever";-0,195;-2,427;-0,123;-0,053;3,874
"égard";-0,195;0,611;-0,123;-0,053;-0,139
"économique";-0,195;-0,151;-0,123;-0,053;0,636
"âge";-0,195;-0,151;-0,123;-0,053;0,636
"à_juste_titre";-0,195;3,807;-0,123;-0,053;-2,385
"yvetteroudy";-0,195;0,611;-0,123;-0,053;-0,139
"véritable";-0,195;-0,151;-0,123;-0,053;0,636
"vrai";-0,195;0,611;-0,123;-0,053;-0,139
"voie";-0,195;-2,427;-0,123;17,922;0,636
"viol";3,994;-0,151;-0,123;-0,053;-0,139
"versement";-0,195;0,611;7,071;-0,053;-2,385
"valeur";3,994;0,611;-0,123;-0,053;-2,385
"traitement";-0,195;3,807;-0,123;-0,053;-2,385
"terme";-0,195;0,611;-0,123;-0,053;-0,139
"suite";-0,195;-0,151;-0,123;17,922;-0,139
"suffire";-0,195;0,611;-0,123;-0,053;-0,139
"simple";-0,195;3,807;-0,123;-0,053;-2,385
"simonedebeauvoir";-0,195;-0,151;-0,123;-0,053;0,636
"réserver";-0,195;0,611;-0,123;-0,053;-0,139
"régime";-0,195;-2,427;-0,123;-0,053;3,874
"réel";-0,195;-0,151;-0,123;-0,053;0,636
"réduction";-0,195;3,807;-0,123;-0,053;-2,385
"récemment";19,705;-2,427;-0,123;-0,053;-0,139
"règle";-0,195;3,807;-0,123;-0,053;-2,385
"revenir";-0,195;-0,151;7,071;-0,053;-0,139
"respect";-0,195;0,611;-0,123;-0,053;-0,139
"reprendre";-0,195;0,611;-0,123;17,922;-2,385
"renforcer";-0,195;-0,151;-0,123;-0,053;0,636
"rendre";-0,195;-2,427;-0,123;17,922;0,636
"recevoir";-0,195;-2,427;7,071;-0,053;0,636
"quota";-0,195;0,611;-0,123;17,922;-2,385
"punir";-0,195;-2,427;7,071;-0,053;0,636
"présenter";-0,195;3,807;-0,123;-0,053;-2,385
"présent";-0,195;0,611;-0,123;-0,053;-0,139
"préparer";-0,195;0,611;-0,123;-0,053;-0,139
"proposition";-0,195;0,611;-0,123;-0,053;-0,139
"prestation";-0,195;-2,427;7,071;-0,053;0,636
"porter";-0,195;-2,427;-0,123;-0,053;3,874
"pleinement";-0,195;0,611;-0,123;-0,053;-0,139
"pierremauroy";-0,195;3,807;-0,123;-0,053;-2,385
"partiel";-0,195;-2,427;-0,123;-0,053;3,874
"occidental";-0,195;3,807;-0,123;-0,053;-2,385
"nécessité";-0,195;-0,151;7,071;-0,053;-0,139
"nombreux";-0,195;-0,151;-0,123;-0,053;0,636
"naturellement";3,994;-2,427;-0,123;-0,053;0,636
"nation";-0,195;0,611;-0,123;-0,053;-0,139
"modifier";3,994;-0,151;-0,123;-0,053;-0,139
"mixité";3,994;-2,427;-0,123;-0,053;0,636
"marquer";3,994;0,611;-0,123;-0,053;-2,385
"mari";-0,195;0,611;-0,123;-0,053;-0,139
"marcher";-0,195;0,611;-0,123;-0,053;-0,139
"manière";3,994;-2,427;-0,123;-0,053;0,636
"ligne";-0,195;-0,151;-0,123;-0,053;0,636
"lever";-0,195;0,611;-0,123;-0,053;-0,139
"internet";-0,195;-2,427;7,071;-0,053;0,636
"inspirer";3,994;-0,151;-0,123;-0,053;-0,139
"initiative";-0,195;-2,427;32,133;-0,053;-0,139
"heureux";3,994;-2,427;7,071;-0,053;-0,139
"guerre";47,326;-2,427;-0,123;-0,053;-2,385
"garçon";-0,195;-2,427;-0,123;-0,053;3,874
"forme";-0,195;0,611;7,071;-0,053;-2,385
"fondamental";-0,195;-2,427;32,133;-0,053;-0,139
"fait";-0,195;0,611;-0,123;-0,053;-0,139
"exister";-0,195;-0,151;-0,123;-0,053;0,636
"européen";-0,195;3,807;-0,123;-0,053;-2,385
"effort";-0,195;0,611;-0,123;-0,053;-0,139
"développer";19,705;-0,151;-0,123;-0,053;-2,385
"désormais";-0,195;-2,427;-0,123;-0,053;3,874
"débat";-0,195;-2,427;7,071;-0,053;0,636
"domestique";-0,195;0,611;-0,123;-0,053;-0,139
"crise";-0,195;-2,427;7,071;-0,053;0,636
"convention";3,994;0,611;-0,123;-0,053;-2,385
"contraception";-0,195;-2,427;-0,123;-0,053;3,874
"conseil";3,994;-0,151;-0,123;-0,053;-0,139
"concrétiser";-0,195;3,807;-0,123;-0,053;-2,385
"concertation";-0,195;-0,151;-0,123;-0,053;0,636
"comporter";-0,195;0,611;-0,123;-0,053;-0,139
"citer";-0,195;-2,427;-0,123;-0,053;3,874
"cher";-0,195;-0,151;-0,123;-0,053;0,636
"charger";-0,195;-0,151;-0,123;-0,053;0,636
"changement";-0,195;-0,151;-0,123;-0,053;0,636
"attacher";-0,195;0,611;-0,123;-0,053;-0,139
"association";-0,195;-0,151;-0,123;-0,053;0,636
"arrêter";-0,195;-2,427;-0,123;-0,053;3,874
"arriver";-0,195;0,611;-0,123;-0,053;-0,139
"agriculteur";-0,195;0,611;-0,123;-0,053;-0,139
"actuel";-0,195;-0,151;-0,123;-0,053;0,636
"acquérir";-0,195;-2,427;7,071;-0,053;0,636
"être";0,321;0,707;0,156;0,018;-1,697
"avoir";0,09;-0,159;-0,011;1,366;0
"ne";-1,041;2,618;-0,065;-1,42;-0,517
"faire";0,001;0,163;0,007;-1,09;-0,031
"pas";-0,249;0,456;1,163;-0,979;-0,356
"plus";-2,737;0;-0,139;0,279;0,63
"pouvoir";-2,918;-0,097;1,965;0,221;0,214
"aussi";0,731;-0,715;-0,057;0,43;0,128
"devoir";-0,443;-0,016;-1,391;0,527;0,509
"vouloir";-0,128;-3,467;0,015;1,037;2,961
"bien";-1,329;1,527;-0,835;24,163;-2,617
"dire";-0,008;-0,24;0,147;1,691;0,002
"savoir";-0,001;-0,077;0,197;-0,322;0,071
"là";0,001;-7,083;3,425;-0,301;4,285
"aujourd_hui";1,062;-1,669;0,197;-0,322;0,6
"falloir";-0,957;4,41;0,426;-0,261;-3,072
"souvent";0,19;0,005;0,841;-0,203;-0,271
"alors";-0,671;-0,082;-0,422;-0,183;1,091
"toujours";4,327;-1,865;-0,378;-0,164;0,511
"ainsi";-0,601;-1,865;-0,378;-0,164;4,345
"surtout";-0,532;-1,263;1,651;-0,145;1,155
"ici";-0,532;1,1;-0,334;5,678;-1,21
"encore";-0,464;-2,651;-0,291;-0,127;5,106
"mme";-0,396;0,078;-0,249;-0,108;0,091
"beaucoup";-0,464;-2,651;-0,291;-0,127;5,106
"madame";-0,328;0,504;-0,206;-0,09;-0,033
"enfin";1,228;3,783;-0,249;-0,108;-4,833
"d_abord";8,095;-1,919;-0,249;-0,108;0,091
"trop";-0,261;0,052;4,869;-0,071;-0,594
"très";-0,261;0,052;-0,164;-0,071;0,06
"tant";2,582;-0,62;-0,164;-0,071;0,06
"monsieur";-0,261;1,544;-0,164;-0,071;-0,594
"maintenant";-0,261;0,052;-0,164;13,014;-0,594
"c_est_à_dire";-0,261;-0,62;-0,164;-0,071;1,591
"an";-0,261;5,098;-0,164;-0,071;-3,194
"point";-0,195;3,807;-0,123;-0,053;-2,385
"peu";-0,195;-2,427;-0,123;17,922;0,636
"partout";-0,195;-0,151;-0,123;-0,053;0,636
"parfois";3,994;0,611;-0,123;-0,053;-2,385
"fort";-0,195;-0,151;-0,123;-0,053;0,636
"eh";-0,195;-0,151;-0,123;-0,053;0,636
"davantage";-0,195;-2,427;7,071;-0,053;0,636
"bon";-0,195;-0,151;-0,123;-0,053;0,636
"autant";-0,195;0,611;-0,123;-0,053;-0,139
"*loc_mitterand";-16,935;31,142;-5,394;2,772;-9,891
"*date_1982";-16,935;31,142;-5,394;2,772;-9,891
"*loc_chirac";11,944;-4,623;-0,981;-0,426;1,104
"*date_2006";11,944;-4,623;-0,981;-0,426;1,104
"*loc_hollande";4,745;-20,795;9,558;-1,832;7,139
"*date_2017";4,745;-20,795;9,558;-1,832;7,139
