"";"";"";"";"problème";""
"63";"information";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"98"
"64";"accès";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"99"
"65";"égard";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"100"
"66";"yvetteroudy";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"101"
"67";"terme";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"102"
"68";"respect";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"103"
"69";"pierremauroy";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"104"
"70";"mixité";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"105"
"71";"internet";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"106"
"72";"forme";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"107"
"73";"fait";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"108"
"74";"effort";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"109"
"75";"changement";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"110"
"76";"association";"-0.096731499003216";"0.0989076890999731";"0.810269993706335";"111"
"77";"place";"-0.203261766922972";"-0.531948806017311";"0.808048646861997";"112"
"78";"part";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"113"
"79";"âge";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"114"
"80";"voie";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"115"
"81";"traitement";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"116"
"82";"simonedebeauvoir";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"117"
"83";"régime";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"118"
"84";"réduction";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"119"
"85";"quota";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"120"
"86";"présent";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"121"
"87";"nation";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"122"
"88";"mari";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"123"
"89";"ligne";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"124"
"90";"garçon";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"125"
"91";"crise";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"126"
"92";"contraception";"-0.0621223602630702";"0.133712676233029";"0.807660160194153";"127"
"93";"emploi";"-0.0736587398431188";"0.122111013855344";"0.806116174719389";"128"
"94";"nom";"-0.183098994542986";"-0.436854308552977";"0.80497063710908";"129"
"95";"doute";"-0.0880792143181795";"0.107608935883237";"0.804153818986946";"130"
"96";"collectif";"-0.0880792143181795";"0.107608935883237";"0.804153818986946";"131"
"97";"cause";"-0.0751007872906249";"0.120660806058133";"0.803785254712325";"132"
"98";"état";"-0.0828878435071577";"0.112829683953196";"0.803645797959766";"133"
"99";"progrès";"-0.0828878435071577";"0.112829683953195";"0.801045925644195";"134"
"100";"organisation";"-0.0828878435071577";"0.112829683953195";"0.801045925644195";"135"
"101";"engagement";"-0.0828878435071577";"0.112829683953195";"0.801045925644195";"136"
"102";"discrimination";"-0.0828878435071577";"0.112829683953195";"0.801045925644195";"137"
"103";"activité";"-0.0828878435071577";"0.112829683953195";"0.801045925644195";"138"
"104";"année";"-0.157188745881055";"-0.276125709257092";"0.800278913505119";"139"
"105";"rôle";"-0.0794269296331431";"0.116310182666501";"0.8";"140"
"106";"nombre";"-0.0794269296331431";"0.116310182666501";"0.8";"141"
