"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"part";-0,056;-0,221;-0,056;0,912;-0,441
"objet";-0,075;12,024;-0,075;-6,187;0,56
"mère";-0,056;-0,221;17,005;-0,18;-0,441
"mesure";-0,075;-0,297;-0,075;1,222;-0,591
"législation";-0,075;-0,297;-0,075;1,222;-0,591
"inégalité";-0,075;-0,297;-0,075;1,222;-0,591
"information";-0,075;-0,297;-0,075;1,222;-0,591
"façon";-0,075;12,024;-0,075;-1,663;-0,591
"décision";71,983;-0,221;-0,056;-3,255;-0,441
"doute";-0,075;-0,297;-0,075;-0,008;0,56
"disposition";-0,075;12,024;-0,075;-6,187;0,56
"collectif";-0,075;-0,297;-0,075;-0,008;0,56
"chemin";-0,075;-0,297;221;-13,579;-0,591
"accès";-0,075;-0,297;-0,075;1,222;-0,591
"égard";-0,056;-0,221;-0,056;-0,18;1,174
"âge";-0,056;-0,221;-0,056;0,912;-0,441
"à_juste_titre";-0,056;3,388;-0,056;-0,18;-0,441
"yvetteroudy";-0,056;-0,221;-0,056;-0,18;1,174
"voie";-0,056;-0,221;-0,056;0,912;-0,441
"viol";-0,056;3,388;-0,056;-0,18;-0,441
"versement";164,99;-0,221;-0,056;-10,138;-0,441
"valeur";-0,056;3,388;-0,056;-3,255;1,174
"traitement";-0,056;-0,221;-0,056;0,912;-0,441
"terme";-0,056;-0,221;-0,056;-0,18;1,174
"simonedebeauvoir";-0,056;-0,221;-0,056;0,912;-0,441
"régime";-0,056;-0,221;-0,056;0,912;-0,441
"réduction";-0,056;-0,221;-0,056;0,912;-0,441
"règle";-0,056;-0,221;-0,056;-3,255;8,014
"respect";-0,056;-0,221;-0,056;-0,18;1,174
"quota";-0,056;-0,221;-0,056;0,912;-0,441
"présent";-0,056;-0,221;-0,056;0,912;-0,441
"pierremauroy";-0,056;-0,221;-0,056;-0,18;1,174
"nation";-0,056;-0,221;-0,056;0,912;-0,441
"mixité";-0,056;-0,221;-0,056;-0,18;1,174
"mari";-0,056;-0,221;-0,056;0,912;-0,441
"manière";-0,056;3,388;-0,056;-0,18;-0,441
"ligne";-0,056;-0,221;-0,056;0,912;-0,441
"internet";-0,056;-0,221;-0,056;-0,18;1,174
"initiative";-0,056;-0,221;17,005;-3,255;1,174
"guerre";-0,056;17,236;-0,056;-3,255;-0,441
"garçon";-0,056;-0,221;-0,056;0,912;-0,441
"forme";-0,056;-0,221;-0,056;-0,18;1,174
"fait";-0,056;-0,221;-0,056;-0,18;1,174
"effort";-0,056;-0,221;-0,056;-0,18;1,174
"domestique";-0,056;3,388;-0,056;-0,18;-0,441
"crise";-0,056;-0,221;-0,056;0,912;-0,441
"convention";-0,056;3,388;-0,056;-0,18;-0,441
"contraception";-0,056;-0,221;-0,056;0,912;-0,441
"conseil";-0,056;3,388;-0,056;-3,255;1,174
"changement";-0,056;-0,221;-0,056;-0,18;1,174
"association";-0,056;-0,221;-0,056;-0,18;1,174
"agriculteur";-0,056;-0,221;-0,056;-3,255;8,014
"être";-0,923;1,818;-0,923;-0,036;0
"avoir";-3,492;0,334;1,364;0,243;-0,609
"mme";-0,094;-0,373;-0,094;-0,825;3,454
"madame";-0,094;-0,373;-0,094;0,027;0,248
"monsieur";-0,075;-0,297;-0,075;1,222;-0,591
"an";-0,075;-0,297;-0,075;-0,008;0,56
"point";-0,056;-0,221;-0,056;0,912;-0,441
"*loc_mitterand";2,799;-10,284;-5,93;0,16;4,945
"*date_1982";2,799;-10,284;-5,93;0,16;4,945
"*loc_chirac";-0,428;10,628;7,769;-5,115;-0,208
"*date_2006";-0,428;10,628;7,769;-5,115;-0,208
"*loc_hollande";-1,849;1,788;0,669;1,014;-4,283
"*date_2017";-1,849;1,788;0,669;1,014;-4,283
